,flux_bb,flux_bb_lolim,flux_bb_hilim,flux_brems,flux_brems_hilim,flux_brems_lolim,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,photflux_aper,photflux_aper_lolim,photflux_aper_hilim,flux_aper,flux_aper_lolim,flux_aper_hilim,photflux_aper_b,photflux_aper_h,photflux_aper_m,photflux_aper_u,photflux_aper_s,photflux_aper_lolim_b,photflux_aper_lolim_h,photflux_aper_lolim_m,photflux_aper_lolim_u,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_hilim_h,photflux_aper_hilim_m,photflux_aper_hilim_u,photflux_aper_hilim_s,flux_aper_b,flux_aper_h,flux_aper_m,flux_aper_u,flux_aper_s,flux_aper_lolim_b,flux_aper_lolim_h,flux_aper_lolim_m,flux_aper_lolim_u,flux_aper_lolim_s,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_hilim_m,flux_aper_hilim_u,flux_aper_hilim_s
0,3.526e-14,3.16e-14,3.845e-14,5.473e-14,7.163e-14,3.728e-14,5.04e-14,4.67e-14,5.453e-14,7.596e-06,6.804200000000001e-06,8.374399999999999e-06,2.4895e-14,2.26012e-14,2.71802e-14,1.94e-05,5.945e-06,3.172e-06,4.085e-06,5.378e-06,1.815e-05,5.301e-06,2.79e-06,2.946e-06,4.834e-06,2.065e-05,6.59e-06,3.555e-06,5.156e-06,5.921e-06,6.003e-14,4.508e-14,7.49e-15,3.605e-15,8.27e-15,5.615e-14,4.021e-14,6.586e-15,2.627e-15,7.433e-15,6.391e-14,4.996e-14,8.393e-15,4.532e-15,9.106e-15
1,,,,,,,,,,4.491e-06,2.8308400000000003e-06,9.4408e-06,9.7282e-15,5.7382e-15,1.46264e-14,1.217e-05,1.6e-06,1.561e-06,,7.124e-06,8.578e-06,3.81e-07,5.852e-07,,4.61e-06,1.556e-05,2.819e-06,2.536e-06,1.679e-05,9.499e-06,2.366e-14,7.038e-15,4.243e-15,,1.37e-14,1.656e-14,1.676e-15,1.591e-15,,8.864e-15,3.036e-14,1.24e-14,6.895e-15,5.207e-15,1.827e-14
2,,,,,,,,,,5.663720000000001e-06,3.577478e-06,7.66928e-06,6.320400000000001e-15,4.9540000000000004e-15,8.5618e-15,8.708e-06,2.786e-07,1.088e-06,1.223e-05,6.014e-06,7.099e-06,1.639e-08,6.22e-07,5.394e-06,4.756e-06,1.032e-05,5.244e-07,1.529e-06,1.87e-05,7.273e-06,1.618e-14,,2.802e-15,,1.262e-14,1.319e-14,,1.601e-15,,9.979e-15,1.917e-14,1.723e-15,3.936e-15,2.72e-15,1.526e-14
3,4.221e-13,3.949e-13,4.468e-13,4.348e-13,4.635e-13,4.015e-13,4.544e-13,4.28e-13,4.813e-13,0.000108862,9.820199999999999e-05,0.00011922600000000001,1.9790999999999999e-13,1.77614e-13,2.1792999999999999e-13,0.0002954,2.955e-05,6.556e-05,5.744e-05,9.636e-05,0.0002804,2.509e-05,6.075e-05,3.561e-05,8.916e-05,0.0003103,3.374e-05,7.037e-05,7.812e-05,0.0001036,4.61e-13,1.418e-13,1.619e-13,6.235e-14,1.625e-13,4.346e-13,1.15e-13,1.5e-13,3.817e-14,1.503e-13,4.874e-13,1.686e-13,1.737e-13,8.525e-14,1.747e-13
4,2.778e-13,2.518e-13,3.015e-13,3.049e-13,3.317e-13,2.647e-13,3.068e-13,2.799e-13,3.343e-13,0.000127592,7.8748e-05,0.00017411199999999998,1.25456e-13,1.1234600000000001e-13,6.403659999999999e-13,0.000214,2.212e-05,5.584e-05,0.0002402,0.0001058,0.0001993,1.799e-05,5.008e-05,3.276e-05,9.361e-05,0.0002287,2.626e-05,6.16e-05,0.0004367,0.0001173,3.124e-13,8.148e-14,1.059e-13,,1.275e-13,2.897e-13,6.422e-14,9.491e-14,,1.129e-13,3.35e-13,9.873e-14,1.169e-13,2.51e-12,1.412e-13
5,4.099e-13,3.849e-13,4.344e-13,4.655e-13,4.997e-13,4.276e-13,4.98e-13,4.644e-13,5.363e-13,0.00011107,0.00010215200000000002,0.00011992800000000001,2.40246e-13,2.1340600000000003e-13,2.66384e-13,0.0003124,4.22e-05,6.712e-05,3.531e-05,9.832e-05,0.0002971,3.604e-05,6.188e-05,2.424e-05,9.15e-05,0.0003278,4.8e-05,7.236e-05,4.638e-05,0.0001051,5.837e-13,2.816e-13,1.567e-13,2.863e-14,1.506e-13,5.432e-13,2.212e-13,1.444e-13,1.813e-14,1.401e-13,6.242e-13,3.385e-13,1.69e-13,3.912e-14,1.611e-13
6,3.531e-13,3.241e-13,3.755e-13,3.707e-13,4.001e-13,3.186e-13,3.913e-13,3.648e-13,4.19e-13,0.00011075199999999999,9.9026e-05,0.000122256,1.60666e-13,1.44514e-13,1.78492e-13,0.0002968,2.284e-05,6.567e-05,6.515e-05,0.0001033,0.0002807,1.843e-05,6.042e-05,4.039e-05,9.519e-05,0.000313,2.725e-05,7.093e-05,8.86e-05,0.0001115,3.986e-13,8.913e-14,1.486e-13,,1.67e-13,3.714e-13,6.077e-14,1.367e-13,,1.537e-13,4.258e-13,1.175e-13,1.605e-13,8.36e-15,1.803e-13
7,2.377e-13,1.766e-13,3.066e-13,2.592e-13,2.76e-13,2.397e-13,2.788e-13,2.641e-13,2.957e-13,0.00010682000000000001,9.6062e-05,0.00011757,2.8846e-13,2.34662e-13,3.405e-13,0.0002689,2.806e-05,6.883e-05,6.191e-05,0.0001064,0.0002568,2.281e-05,6.435e-05,3.658e-05,9.977e-05,0.0002811,3.33e-05,7.331e-05,8.724e-05,0.0001129,4.491e-13,1.016e-13,1.677e-13,5.383e-13,1.856e-13,4.068e-13,4.741e-14,1.568e-13,3.883e-13,1.74e-13,4.914e-13,1.558e-13,1.787e-13,6.795e-13,1.971e-13
8,3.408e-13,3.202e-13,3.555e-13,3.604e-13,3.763e-13,3.391e-13,3.785e-13,3.614e-13,3.945e-13,0.00011868999999999999,0.00010817600000000002,0.000129198,1.7679399999999998e-13,1.61386e-13,1.9771599999999995e-13,0.0002698,2.804e-05,7.361e-05,0.000118,0.000104,0.0002597,2.425e-05,6.964e-05,8.892e-05,9.837e-05,0.0002799,3.161e-05,7.758e-05,0.0001472,0.0001097,4.384e-13,9.407e-14,1.778e-13,,1.737e-13,4.129e-13,6.173e-14,1.682e-13,,1.641e-13,4.639e-13,1.249e-13,1.874e-13,2.908e-14,1.833e-13
9,3.834e-13,3.711e-13,3.955e-13,3.871e-13,3.987e-13,3.739e-13,3.766e-13,3.643e-13,3.881e-13,5.814e-05,5.4099999999999994e-05,6.218666666666667e-05,1.0868e-13,1.0208333333333333e-13,1.1520666666666666e-13,,,6.602e-05,2.449e-05,8.391e-05,,,6.293e-05,1.932e-05,8.005e-05,,,6.911e-05,2.967e-05,8.778e-05,,,1.61e-13,3.064e-14,1.344e-13,,,1.535e-13,2.435e-14,1.284e-13,,,1.686e-13,3.652e-14,1.405e-13
10,3.722e-13,3.607e-13,3.834e-13,3.733e-13,3.848e-13,3.596e-13,3.682e-13,3.563e-13,3.799e-13,9.7046e-05,9.223e-05,0.00010174400000000001,1.7412999999999999e-13,1.65752e-13,1.8236800000000002e-13,0.0002668,2.625e-05,6.882e-05,3.265e-05,9.071e-05,0.0002586,2.382e-05,6.559e-05,2.655e-05,8.659e-05,0.000275,2.868e-05,7.205e-05,3.842e-05,9.457e-05,4.282e-13,1.22e-13,1.608e-13,1.755e-14,1.421e-13,4.145e-13,1.11e-13,1.533e-13,1.416e-14,1.358e-13,4.411e-13,1.33e-13,1.684e-13,2.094e-14,1.484e-13
11,3.679e-13,3.482e-13,3.896e-13,3.741e-13,4.029e-13,3.3e-13,3.9e-13,3.614e-13,4.159e-13,9.0316e-05,7.813e-05,0.000102322,2.298e-13,2.09475e-13,2.4975e-13,0.0002467,2.459e-05,6.702e-05,2.911e-05,8.416e-05,0.000232,2.067e-05,6.167e-05,,7.631e-05,0.0002605,2.852e-05,7.236e-05,5.822e-05,9.201e-05,4.578e-13,1.581e-13,1.546e-13,,1.487e-13,4.295e-13,1.315e-13,1.423e-13,,1.346e-13,4.845e-13,1.847e-13,1.67e-13,,1.628e-13
12,3.772e-13,3.473e-13,4.025e-13,3.748e-13,4.049e-13,3.393e-13,3.933e-13,3.641e-13,4.225e-13,0.00010966800000000001,9.6458e-05,0.000122878,1.8212139999999999e-13,1.6359999999999998e-13,2.0067600000000002e-13,0.0002909,2.582e-05,7.562e-05,6.621e-05,8.979e-05,0.0002743,2.114e-05,6.979e-05,3.553e-05,8.153e-05,0.0003075,3.051e-05,8.145e-05,9.689e-05,9.804e-05,4.508e-13,1.431e-13,1.745e-13,6.307e-15,1.359e-13,4.218e-13,1.12e-13,1.61e-13,,1.232e-13,4.798e-13,1.741e-13,1.88e-13,1.288e-14,1.486e-13
13,3.784e-13,3.573e-13,4.014e-13,3.939e-13,4.284e-13,3.172e-13,4.322e-13,4.07e-13,4.582e-13,0.000101088,9.298799999999998e-05,0.000109018,1.8406800000000002e-13,1.675676e-13,2.0024799999999999e-13,0.0002829,3.379e-05,7.025e-05,3.058e-05,8.792e-05,0.0002691,2.901e-05,6.518e-05,2e-05,8.165e-05,0.0002967,3.829e-05,7.532e-05,4.058e-05,9.42e-05,4.49e-13,1.552e-13,1.632e-13,1.704e-14,1.359e-13,4.243e-13,1.273e-13,1.514e-13,8.738e-15,1.261e-13,4.738e-13,1.815e-13,1.75e-13,2.534e-14,1.456e-13
14,3.002e-13,2.628e-13,3.255e-13,3.173e-13,3.49e-13,2.576e-13,3.488e-13,3.197e-13,3.807e-13,0.000107646,9.6288e-05,0.000119002,1.7346e-13,1.47954e-13,2.0172200000000002e-13,0.0002708,3.305e-05,6.496e-05,7.828e-05,9.114e-05,0.0002542,2.659e-05,5.901e-05,5.84e-05,8.324e-05,0.0002874,3.951e-05,7.09e-05,9.816e-05,9.904e-05,4.306e-13,1.264e-13,1.589e-13,,1.514e-13,3.867e-13,7.047e-14,1.443e-13,,1.383e-13,4.744e-13,1.822e-13,1.735e-13,1.401e-14,1.645e-13
15,3.174e-13,2.569e-13,3.509e-13,3.245e-13,3.581e-13,2.557e-13,3.52e-13,3.111e-13,3.839e-13,0.00011320599999999999,8.923e-05,0.000137088,1.5498e-13,1.28276e-13,2.4666e-13,0.0002547,2.523e-05,7.187e-05,0.0001381,7.613e-05,0.0002375,1.892e-05,6.582e-05,5.667e-05,6.724e-05,0.0002719,3.153e-05,7.791e-05,0.0002196,8.45e-05,3.842e-13,1.151e-13,1.658e-13,,1.098e-13,3.367e-13,5.755e-14,1.518e-13,,9.533e-14,4.316e-13,1.702e-13,1.799e-13,3.273e-13,1.243e-13
